Date,Account,Num,Description,Memo,Category,Tag,Clr,Amount
11/1/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-8.91
11/3/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
11/9/2018,Greenlight Card,,CVS,,Childcare:Furnishings,,c,-3.25
11/12/2018,Greenlight Card,,City of Santa Monica,beach parking,Childcare:Furnishings,,c,-2.00
11/12/2018,Greenlight Card,,Greenlight,,Childcare:Furnishings,,,-4.99
11/13/2018,Greenlight Card,,Apple,ITUNES,Childcare:Leisure,,c,-5.99
11/18/2018,Greenlight Card,,Transfer Money,,[inflow account],,,50.00
11/28/2018,Greenlight Card,,Transfer Money,,[inflow account],,c,150.00
11/30/2018,Greenlight Card,,National/Robertson Car,,Childcare:Furnishings,,c,-4.97
11/30/2018,Greenlight Card,,Spotify,,Childcare:Leisure,,c,-9.99
